,TOTAL,COM 1,COM 2,fcount,ftime
0,"98,5",2,0.0,81,90.0
1,"100,5",2,2.0,81,105.0
2,"99,5",2,2.0,81,120.0
3,"98,5",2,2.0,81,150.0
4,"95,5",2,2.0,81,180.0
5,"91,5",2,2.0,81,240.0
6,"93,5",4,4.0,81,270.0
7,"90,5",4,4.0,81,360.0
8,"91,5",5,4.0,81,360.0
9,"92,5",5,5.0,81,360.0
10,"93,5",5,5.0,81,375.0
11,"93,5",7,5.0,81,375.0
12,"92,5",7,5.0,81,390.0
13,"93,5",7,5.0,81,390.0
14,"92,5",7,5.0,81,420.0
15,"92,5",7,6.0,81,420.0
16,"92,5",7,6.0,81,435.0
17,"93,5",7,8.0,81,450.0
18,"93,5",7,8.0,81,465.0
19,"92,5",7,8.0,81,480.0
20,"94,5",7,10.0,81,495.0
21,"95,5",9,10.0,81,540.0
22,"96,5",9,12.0,81,540.0
23,"96,5",9,14.0,81,585.0
24,"97,5",10,14.0,81,585.0
27,"98,5",10,14.0,81,615.0
28,"96,5",10,14.0,81,660.0
29,"97,5",12,14.0,81,675.0
30,"97,5",12,14.0,81,690.0
31,"96,5",12,14.0,81,705.0
32,"97,5",14,14.0,81,720.0
33,"97,5",15,14.0,81,750.0
34,"95,5",15,14.0,81,780.0
35,"97,5",15,16.0,81,780.0
36,"98,5",15,18.0,81,810.0
37,"95,5",15,18.0,81,810.0
38,"92,5",15,18.0,81,840.0
39,"92,5",15,18.0,81,855.0
40,"93,5",17,20.0,81,915.0
41,"95,5",17,22.0,81,930.0
42,"96,5",19,22.0,81,945.0
43,"95,5",19,22.0,81,975.0
44,"94,5",19,22.0,81,1005.0
45,"92,5",19,22.0,81,1080.0
46,"93,5",19,24.0,81,1110.0
47,"93,5",19,24.0,81,1140.0
48,"92,5",19,24.0,81,1170.0
49,"91,5",19,24.0,81,1185.0
51,"93,5",19,27.0,81,1215.0
52,"95,5",21,27.0,81,1230.0
53,"94,5",21,27.0,81,1245.0
54,"93,5",21,27.0,81,1260.0
55,"92,5",21,27.0,81,1290.0
56,"91,5",21,27.0,81,1320.0
57,"90,5",21,27.0,81,1350.0
58,"90,5",23,27.0,81,1380.0
59,91,25,27.0,81,1410.0
60,"90,5",25,27.0,81,1425.0
61,91,27,27.0,81,1455.0
62,"92,5",27,27.0,81,1455.0
63,92,27,27.0,81,1470.0
64,"90,5",27,27.0,81,1500.0
65,89,29,27.0,81,1575.0
66,"91,5",29,27.0,81,1575.0
67,91,29,27.0,81,1590.0
68,91,31,27.0,81,1605.0
69,90,33,31.0,81,1770.0
72,90,33,31.0,81,1815.0
73,"88,5",33,31.0,81,1830.0
74,"85,5",33,31.0,81,1860.0
75,"84,5",33,31.0,81,1890.0
76,"85,5",34,31.0,81,1890.0
77,85,34,31.0,81,1905.0
78,86,34,32.0,81,1905.0
79,85,34,32.0,81,1935.0
80,"83,5",34,32.0,81,1965.0
81,83,34,32.0,81,1980.0
82,"84,5",34,34.0,81,1995.0
83,"84,5",34,34.0,81,2010.0
84,85,34,34.0,81,2010.0
85,83,34,35.0,81,2025.0
86,"84,5",34,35.0,81,2025.0
87,"82,5",34,35.0,81,2055.0
88,"83,5",36,35.0,81,2115.0
89,"82,5",36,35.0,81,2160.0
90,82,36,35.0,81,2160.0
91,"81,5",36,35.0,81,2160.0
92,82,37,35.0,81,2160.0
93,"81,5",37,35.0,81,2160.0
94,84,38,35.0,81,2160.0
95,"80,5",38,35.0,81,2220.0
96,84,40,37.0,81,2250.0
97,0,40,37.0,81,2340.0
98,0,42,39.0,81,2355.0
99,0,42,39.0,81,2370.0
100,0,42,39.0,81,2385.0
101,"166,5",5,3.0,158,60.0
102,"166,5",7,3.0,158,90.0
103,"167,5",7,5.0,158,105.0
104,"166,5",7,5.0,158,120.0
105,"167,5",9,5.0,158,150.0
106,"166,5",9,5.0,158,150.0
107,"164,5",9,5.0,158,180.0
108,"165,5",9,7.0,158,195.0
109,"165,5",10,7.0,158,225.0
110,"165,5",11,7.0,158,225.0
111,"166,5",11,7.0,158,240.0
112,"166,5",12,9.0,158,255.0
113,"167,5",14,9.0,158,270.0
114,"168,5",14,10.0,158,285.0
115,"168,5",14,11.0,158,285.0
116,"167,5",14,11.0,158,300.0
117,"165,5",14,13.0,158,360.0
118,"166,5",17,13.0,158,375.0
119,"165,5",17,13.0,158,405.0
120,"163,5",17,13.0,158,435.0
121,"160,5",17,13.0,158,465.0
122,"161,5",19,13.0,158,495.0
123,"159,5",19,13.0,158,510.0
124,"159,5",19,15.0,158,540.0
125,"158,5",19,15.0,158,555.0
126,"157,5",19,15.0,158,570.0
127,"159,5",19,15.0,158,570.0
128,"158,5",19,16.0,158,570.0
131,"157,5",22,16.0,158,615.0
